Key,File,Type,UsedInMainMenu,NoTranslate,english,Context
ImmersiveVendorsBarrelGasQuadA,blocks,block,,,"Gas Barrel Vendor",,
ImmersiveVendorsBarrelGasSingle45,blocks,block,,,"Gas Barrel Vendor",,
ImmersiveVendorsBarrelGasSingle00,blocks,block,,,"Gas Barrel Vendor",,
ImmersiveVendorsBarrelAcidQuadB,blocks,block,,,"Acid Barrel Vendor",,
ImmersiveVendorsBarrelAcidQuadA,blocks,block,,,"Acid Barrel Vendor",,
ImmersiveVendorsBarrelAcidSingle45,blocks,block,,,"Acid Barrel Vendor",,
ImmersiveVendorsBarrelAcidSingle00,blocks,block,,,"Acid Barrel Vendor",,
ImmersiveVendorsCoffeeMakerCommercial,blocks,block,,,"Commercial Coffee Maker Vendor",,
ImmersiveVendorsCoffeeMaker,blocks,block,,,"Coffee Maker Vendor",,
ImmersiveVendorsWaterCoolerBottle,blocks,block,,,"Water Cooler Vendor",,
ImmersiveVendorsWaterCoolerFull,blocks,block,,,"Water Cooler Vendor",,
ImmersiveVendorsIceMachine,blocks,block,,,"Ice Machine Vendor",,
ImmersiveVendorsSodaFountain,blocks,block,,,"Soda Fountain Vendor",,
ImmersiveVendorsFoodPileSmall,blocks,block,,,"Small Food Pile Vendor",,
ImmersiveVendorsFoodPileMedium,blocks,block,,,"Medium Food Pile Vendor",,
ImmersiveVendorsFoodPileLarge,blocks,block,,,"Large Food Pile Vendor",,
ImmersiveVendorsMedicalPileSmall,blocks,block,,,"Small Medical Pile Vendor",,
ImmersiveVendorsMedicalPileMedium,blocks,block,,,"Medium Medical Pile Vendor",,
ImmersiveVendorsMedicalPileLarge,blocks,block,,,"Large Medical Pile Vendor",,
ImmersiveVendorsMedicLootPileA,blocks,block,,,"Medic Loot Pile Vendor",,
ImmersiveVendorsMedicLootPileB,blocks,block,,,"Medic Loot Pile Vendor",,
ImmersiveVendorsAmmoPileLarge,blocks,block,,,"Large Ammo Pile Vendor",,
ImmersiveVendorsAmmoPileMedium,blocks,block,,,"Medium Ammo Pile Vendor",,
ImmersiveVendorsAmmoPileSmall,blocks,block,,,"Small Ammo Pile Vendor",,
ImmersiveVendorsNightstandClosed,blocks,block,,,"Nightstand Vendor",,
ImmersiveVendorsMunitionsBox,blocks,block,,,"Munitions Box Vendor",,
ImmersiveVendorsLockersShortClosed,blocks,block,,,"Short Lockers Vendor",,
ImmersiveVendorsLockers,blocks,block,,,"Lockers Vendor",,
ImmersiveVendorsLockersTallDoubleClosed,blocks,block,,,"Tall Lockers Vendor",,
ImmersiveVendorsLockersTallMixClosed,blocks,block,,,"Tall Lockers  Vendor",,
ImmersiveVendorsLockersTallMixLinkClosed,blocks,block,,,"Tall Lockers  Vendor",,
ImmersiveVendorsFileCabinetShortClosed,blocks,block,,,"File Cabinet Vendor",,
ImmersiveVendorsFileCabinet,blocks,block,,,"File Cabinet Vendor",,
ImmersiveVendorsCardboardBox,blocks,block,,,"Cardboard Box Vendor",,
ImmersiveVendorsFridge,blocks,block,,,"Fridge Vendor",,
ImmersiveVendorsRetroFridge,blocks,block,,,"Retro Fridge Vendor",,
ImmersiveVendorsPillCase,blocks,block,,,"Pill Case Vendor",,
ImmersiveVendorsBeerCooler,blocks,block,,,"Cooler Vendor",,
ImmersiveVendorsMedicineCabinet,blocks,block,,,"Medicine Cabinet Vendor",,
ImmersiveVendorsBookcase,blocks,block,,,"Bookcase Vendor",,
ImmersiveVendorsWallSafe,blocks,block,,,"Wallsafe Vendor",,
ImmersiveVendorsCoffin,blocks,block,,,"Coffin Vendor",,
ImmersiveVendorsGasPump,blocks,block,,,"Gas Pump Vendor",,
ImmersiveVendorspalletWhiteBagsBase,blocks,block,,,"White Bags Vendor",,
ImmersiveVendorspalletWhiteBagsTile,blocks,block,,,"White Bags Vendor",,
ImmersiveVendorspalletWhiteBagsTop,blocks,block,,,"White Bags Vendor",,
ImmersiveVendorspalletWhiteBagsPartial1,blocks,block,,,"White Bags Vendor",,
ImmersiveVendorspalletWhiteBagsPartial2,blocks,block,,,"White Bags Vendor",,
ImmersiveVendorspalletWhiteBagsLoose,blocks,block,,,"White Bags Vendor",,
ImmersiveVendorspalletBrownBoxesBase,blocks,block,,,"Brown Boxes Vendor",,
ImmersiveVendorspalletBrownBoxesTile,blocks,block,,,"Brown Boxes Vendor",,
ImmersiveVendorspalletBrownBoxesTop,blocks,block,,,"Brown Boxes Vendor",,
ImmersiveVendorspalletBrownBoxesLoose,blocks,block,,,"Brown Boxes Vendor",,
ImmersiveVendorspalletBricksBase,blocks,block,,,"Bricks Vendor",,
ImmersiveVendorspalletBricksTile,blocks,block,,,"Bricks Vendor",,
ImmersiveVendorspalletBricksTop,blocks,block,,,"Bricks Vendor",,
ImmersiveVendorspalletBricksPartial1,blocks,block,,,"Bricks Vendor",,
ImmersiveVendorspalletBricksPartial2,blocks,block,,,"Bricks Vendor",,
ImmersiveVendorspalletBricksLoose,blocks,block,,,"Bricks Vendor",,
ImmersiveVendorspalletBlueTarpBase,blocks,block,,,"Blue Tarp Vendor",,
ImmersiveVendorspalletBlueTarpTile,blocks,block,,,"Blue Tarp Vendor",,
ImmersiveVendorsmodularFireWoodStackA,blocks,block,,,"Firewood Stack Vendor",,
ImmersiveVendorsmodularFireWoodStackB,blocks,block,,,"Firewood Stack Vendor",,
ImmersiveVendorsmodularFireWoodStackC,blocks,block,,,"Firewood Stack Vendor",,
ImmersiveVendorsCoolerClosed,blocks,block,,,"Cooler Vendor",,
ImmersiveVendorsWeaponsBagSmall,blocks,block,,,"Small Weapons Bag Vendor",,
ImmersiveVendorsWeaponsBagLarge,blocks,block,,,"Large Weapons Bag Vendor",,
ImmersiveVendorsSpeaker,blocks,block,,,"Speaker Vendor",,
